Vehicle_Model,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Odometer_Reading,Last_Service_Date,Warranty_Expiry_Date,Owner_Type,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Need_Maintenance
Truck,30922.52225,Average,2,1,Diesel,Automatic,800,70869.21775,12/8/2023,5/9/2024,Third,17091.78066,5,3,16.37890774,Worn Out,Good,0
Truck,42716.18023,Poor,1,9,Petrol,Automatic,1000,17381.64031,29/6/2023,4/10/2025,First,16442.83489,4,3,17.32255047,New,New,0
Truck,38780.50273,Poor,1,9,Petrol,Manual,1500,128037.0286,11/2/2024,9/2/2026,First,8291.491987,3,3,13.74422102,Worn Out,New,0
Truck,57848.20909,Good,1,5,Petrol,Automatic,800,100540.2536,13/5/2023,27/2/2025,Second,19109.76311,1,3,16.95538791,Worn Out,New,0
Truck,68975.35071,Poor,0,6,Petrol,Automatic,2500,139737.0257,5/10/2023,2/11/2024,Third,21147.38817,3,2,11.97090031,Good,Good,0
Truck,66705.19304,Good,2,5,Petrol,Automatic,1500,79968.2165,17/2/2024,8/10/2025,Second,25564.94968,2,2,15.29347749,Worn Out,New,0
Truck,58628.79196,Good,2,5,Electric,Automatic,2500,60908.66254,10/6/2023,2/1/2025,First,11120.8714,5,0,13.82263543,New,New,0
Truck,62202.89791,Average,1,6,Diesel,Automatic,1000,16090.52121,15/6/2023,2/1/2026,Second,24415.69542,7,1,17.49423582,Good,Good,0
Truck,40112.75456,Poor,1,1,Diesel,Manual,2500,126995.5189,3/5/2023,12/9/2024,Third,5132.10322,1,1,18.68248821,Worn Out,Good,0
Truck,71096.22368,Good,0,10,Petrol,Automatic,2500,40704.28825,12/12/2023,10/8/2025,Second,11775.24666,2,0,18.75875459,New,New,0
Truck,66851.9056,Poor,0,6,Electric,Manual,1500,70816.1392,10/12/2023,10/9/2025,First,27801.4952,8,1,15.59411436,Worn Out,Good,0
Truck,52318.17867,Good,1,7,Diesel,Automatic,2000,48622.28877,6/4/2023,7/1/2026,Third,17852.49986,5,2,16.24001804,Good,Good,0
Truck,60991.66703,Poor,0,6,Petrol,Automatic,800,2855.033981,9/9/2023,6/11/2025,Third,17811.17916,3,2,15.51594525,Worn Out,Good,0
Truck,75487.37551,Good,1,9,Electric,Manual,2500,65481.78096,9/10/2023,6/12/2024,First,6828.763281,6,0,15.54093604,Worn Out,Good,0
Truck,41602.19778,Average,2,10,Petrol,Automatic,2500,57049.03832,28/6/2023,24/11/2025,Third,27165.50715,3,2,15.79429255,Good,New,0
Truck,81826.3789,Good,3,8,Diesel,Manual,2000,149137.9441,24/5/2023,9/1/2026,Third,12274.981,5,2,14.95860835,New,New,0
Truck,67559.59242,Good,2,2,Electric,Manual,1000,6121.048041,16/1/2024,17/12/2025,Second,9654.579632,10,1,15.13844937,New,Good,0
Truck,70680.17455,Poor,1,10,Diesel,Automatic,1000,6325.405653,31/1/2024,2/3/2025,Third,28783.22682,7,1,18.2633343,New,Good,0
Truck,57207.93201,Average,1,6,Electric,Manual,1000,53299.93316,16/1/2024,3/9/2024,First,24686.69372,10,0,18.06970759,New,Good,0
Truck,45316.64181,Good,1,3,Electric,Automatic,1500,93732.8472,24/9/2023,7/2/2025,Second,11672.70399,5,0,19.05827556,Worn Out,New,0
Truck,31414.98999,Poor,1,4,Diesel,Automatic,1000,49893.5407,27/5/2023,22/12/2025,First,15733.53386,9,1,11.77187477,Worn Out,Good,0
Truck,73155.17175,Good,3,4,Diesel,Automatic,1500,114652.5403,30/1/2024,1/6/2024,First,13178.74316,3,0,15.45833609,Good,New,0
Truck,76449.38311,Good,2,9,Diesel,Manual,1000,70156.11931,3/9/2023,30/9/2024,First,9471.090274,10,1,12.86727847,Good,New,0
Truck,50871.82362,Poor,1,9,Diesel,Automatic,1500,119456.8968,1/11/2023,24/9/2024,First,20126.50188,5,1,13.99023952,Worn Out,New,0
Truck,54501.69574,Average,1,4,Petrol,Manual,1000,131005.0935,26/12/2023,26/7/2024,First,20878.85509,9,1,17.34550828,Worn Out,Good,0
Truck,63307.35069,Good,2,5,Electric,Manual,1500,40597.20127,11/8/2023,10/6/2025,Second,23346.29315,5,3,17.24117943,New,New,0
Truck,73068.09014,Good,0,10,Diesel,Manual,1000,38324.34627,14/1/2024,16/10/2024,Third,30640.3472,1,3,18.53379623,Worn Out,New,0
Truck,44142.6302,Average,2,8,Diesel,Automatic,1500,68955.84432,25/8/2023,12/1/2025,Second,16648.72456,5,1,12.28002488,Worn Out,New,0
Truck,35894.63117,Poor,1,7,Electric,Automatic,1000,12883.59959,12/11/2023,15/5/2024,First,27928.96547,6,1,10.99435051,Worn Out,Good,0
Truck,40093.78702,Average,1,4,Petrol,Automatic,2000,65275.561,20/5/2023,30/7/2024,Third,17910.19856,10,0,13.28652293,Worn Out,Good,0
Truck,50598.39035,Good,1,1,Diesel,Automatic,1000,16883.29295,24/8/2023,7/7/2024,Third,9972.707693,2,0,17.1251437,New,New,0
Truck,52876.32603,Good,0,2,Diesel,Manual,2000,89517.16666,15/5/2023,15/7/2025,First,15207.61011,7,0,13.24296567,Good,Good,0
Truck,50286.89344,Average,1,9,Electric,Manual,800,99554.5094,13/12/2023,9/12/2025,Second,18851.76841,3,2,12.79723027,New,Good,0
Truck,46189.74156,Average,1,8,Petrol,Manual,800,23751.33316,12/4/2023,7/1/2025,Third,26507.23021,6,3,17.56616156,Worn Out,New,0
Truck,63151.6552,Good,0,9,Electric,Automatic,2000,10315.0575,16/12/2023,22/9/2024,Third,21209.26653,4,3,14.04098482,Good,Good,0
Truck,51952.92832,Average,1,3,Petrol,Manual,800,144110.4187,29/12/2023,1/7/2025,Third,8274.445903,5,3,12.75452398,New,Good,0
Truck,36488.13487,Good,2,3,Electric,Automatic,2000,19897.28688,26/2/2024,19/6/2025,First,7991.672284,3,3,13.91908636,Good,New,0
Truck,32296.72708,Poor,0,9,Electric,Manual,800,141857.5343,20/4/2023,22/9/2025,Second,13754.82299,7,3,14.64301331,New,New,0
Truck,71205.74298,Good,2,3,Electric,Manual,2000,82663.19899,23/1/2024,22/8/2025,Third,17180.64935,4,2,11.33117232,New,New,0
Truck,53953.30995,Good,2,1,Petrol,Automatic,1500,118590.9978,11/12/2023,13/5/2024,Third,24604.30245,5,0,10.81729378,Good,Good,0
Truck,33455.47834,Poor,1,6,Electric,Manual,1500,64359.22598,20/11/2023,24/1/2025,First,12574.84969,7,1,18.66631109,Worn Out,New,0
Truck,37344.31497,Average,2,5,Electric,Manual,2000,141647.1282,7/5/2023,6/12/2025,Second,16800.60511,7,3,13.51956401,Good,New,0
Truck,71697.32878,Average,0,6,Petrol,Automatic,2000,77073.36885,1/9/2023,5/4/2025,Third,24809.10763,1,2,11.61212954,Worn Out,New,0
Truck,30720.02023,Poor,0,7,Petrol,Automatic,800,146494.596,7/7/2023,5/6/2025,Second,23929.9887,1,1,15.23970002,Worn Out,Good,0
Truck,64590.9917,Average,2,10,Petrol,Automatic,2000,136309.9514,18/8/2023,25/5/2025,Second,8218.596224,10,0,17.82157217,Worn Out,Good,0
Truck,47272.64191,Average,0,5,Electric,Manual,1000,109382.797,22/7/2023,14/6/2024,Second,28895.01827,3,0,11.29059446,Good,Good,0
Truck,58284.59114,Poor,1,2,Diesel,Manual,1500,85798.74502,8/10/2023,26/6/2025,First,5443.890737,6,1,19.32386216,Worn Out,New,0
Truck,73690.24119,Good,2,5,Petrol,Manual,2500,34857.28812,7/2/2024,23/10/2024,Second,24948.09563,3,3,19.53001295,Worn Out,Good,0
Truck,60653.54732,Average,2,2,Diesel,Automatic,1500,50169.97401,21/9/2023,16/1/2025,First,23874.27338,1,1,16.11173153,New,New,0
Truck,53945.73127,Poor,0,8,Petrol,Manual,2500,57723.14216,31/10/2023,8/9/2024,Third,16841.72095,5,3,16.27861316,Worn Out,New,0
Truck,65590.00306,Average,1,8,Electric,Automatic,800,109593.0598,21/12/2023,28/9/2025,First,18665.70615,4,0,12.70061403,Good,New,0
Truck,47503.08237,Average,2,1,Diesel,Manual,2000,96518.35207,5/11/2023,17/1/2025,Third,11604.70761,7,3,19.42773891,New,New,0
Truck,57592.62241,Poor,1,8,Electric,Manual,1000,104375.2484,30/6/2023,21/8/2024,Second,11312.3357,2,1,13.95610872,Good,Good,0
Truck,65488.01583,Poor,0,3,Diesel,Automatic,1000,119061.5274,7/9/2023,4/8/2024,Third,19638.64536,4,2,12.78141506,Worn Out,New,0
Truck,75256.54204,Good,1,5,Petrol,Automatic,1500,26148.6147,6/2/2024,13/11/2025,First,24148.09951,9,1,20.0699888,Worn Out,New,0
Truck,75210.01043,Good,0,4,Petrol,Manual,1000,54948.92458,16/12/2023,8/3/2026,Second,28567.58816,6,1,16.67998119,Good,New,0
Truck,50624.63886,Good,3,4,Diesel,Manual,1500,135384.6635,5/9/2023,19/11/2025,Third,18951.92758,7,0,13.81066715,New,New,0
Truck,52594.67593,Poor,0,4,Electric,Manual,1500,65704.88183,28/7/2023,6/3/2026,First,17650.35572,2,0,12.3081922,Good,Good,0
Truck,77756.44532,Good,1,8,Petrol,Automatic,2000,38918.08732,13/10/2023,10/4/2025,First,25665.04638,4,0,12.85790131,Good,Good,0
Truck,44847.74732,Good,0,5,Diesel,Automatic,2000,56009.07904,3/11/2023,21/11/2025,First,29504.35423,7,1,15.49538756,Good,New,0
Truck,40709.72096,Good,0,8,Petrol,Manual,2000,53312.36576,7/2/2024,14/1/2026,Third,21583.11699,1,0,17.64942072,Good,New,0
Truck,54322.51772,Poor,1,7,Petrol,Manual,1500,49555.56731,12/8/2023,16/11/2025,Second,17761.69482,3,3,15.19163208,New,New,0
Truck,74904.37097,Average,0,10,Diesel,Automatic,2000,1500.479053,17/5/2023,12/9/2024,Second,23969.53947,5,1,16.71051416,Good,New,0
Truck,79593.14318,Average,1,7,Petrol,Automatic,1000,50850.78043,20/2/2024,5/7/2025,Second,10661.4668,4,3,11.97868963,Worn Out,Good,0
Truck,49685.85996,Good,0,8,Petrol,Manual,800,126498.4277,19/9/2023,10/8/2024,Second,10606.22385,10,0,12.79316292,New,New,0
Truck,73456.73786,Good,3,10,Diesel,Automatic,1500,129355.4044,29/8/2023,28/6/2025,First,23794.30387,10,0,10.39848355,Good,New,0
Truck,39992.95209,Average,0,8,Petrol,Automatic,2000,104718.389,20/6/2023,1/11/2025,Third,16367.14447,5,0,15.32962293,Worn Out,New,0
Truck,65284.32329,Average,0,6,Diesel,Automatic,800,99204.41309,27/2/2024,13/8/2025,Second,11258.24063,9,1,12.20119974,Worn Out,Good,0
Truck,60679.80371,Good,0,9,Diesel,Manual,1500,115214.8322,4/12/2023,30/11/2024,Third,13846.42945,9,0,16.513169,Good,Good,0
Truck,45514.60256,Poor,1,5,Petrol,Manual,2000,118996.2597,1/11/2023,3/10/2025,Third,7967.863248,5,0,13.73428603,Worn Out,New,0
Truck,42267.59946,Good,0,7,Electric,Manual,2500,53444.43757,23/11/2023,17/2/2026,First,12915.35213,5,3,20.32996269,New,New,0
Truck,76081.61993,Poor,1,2,Diesel,Automatic,1000,64634.2795,16/7/2023,16/8/2025,Second,15132.39935,2,3,12.07588873,Good,Good,0
Truck,50261.6695,Average,2,1,Electric,Manual,1000,68316.63996,17/2/2024,9/9/2025,Third,18686.58012,3,3,16.47839816,Worn Out,New,0
Truck,61616.69301,Poor,1,7,Petrol,Automatic,800,64295.71041,14/4/2023,31/5/2025,Third,12385.67324,3,3,18.00467279,New,Good,0
Truck,46993.34799,Good,2,8,Electric,Automatic,1000,116528.5066,6/11/2023,1/5/2024,Third,15287.14215,9,0,18.91327985,New,Good,0
Truck,52480.11953,Average,0,6,Petrol,Manual,1000,46819.05108,17/12/2023,31/7/2024,Second,7918.77467,5,1,16.99048087,Good,New,0
Truck,31693.38873,Good,1,1,Diesel,Automatic,1500,18322.66175,18/10/2023,24/2/2025,First,10236.2077,8,0,10.60843371,New,Good,0
Truck,66520.30281,Good,1,10,Electric,Automatic,2000,96449.65129,18/2/2024,30/11/2024,Third,19524.23374,5,1,18.08599103,Worn Out,New,0
Truck,33700.09189,Good,2,1,Electric,Manual,2000,36181.41264,20/11/2023,6/2/2025,Third,28535.0052,5,3,14.22704113,Good,New,0
Truck,71170.96646,Poor,1,2,Diesel,Automatic,1000,13413.06847,3/7/2023,29/11/2024,First,27132.29568,2,0,19.46526328,New,Good,0
Truck,78700.00742,Average,0,10,Electric,Manual,1000,142232.0441,25/10/2023,4/5/2024,Third,17934.73683,1,3,19.24328117,New,New,0
Truck,68848.04545,Average,2,4,Petrol,Manual,2500,22954.82925,30/1/2024,4/2/2025,First,13798.75118,2,3,14.57225708,Good,New,0
Truck,62680.95133,Average,1,6,Electric,Manual,1500,41956.30932,22/10/2023,19/7/2025,First,22204.05841,1,3,16.31023799,New,Good,0
Truck,67080.34315,Good,3,5,Electric,Automatic,2500,47360.09956,25/4/2023,5/8/2024,Second,15737.77941,2,1,11.30500655,Worn Out,Good,0
Truck,35066.63279,Average,2,7,Diesel,Automatic,2000,111001.6474,16/4/2023,22/11/2025,Third,5551.388978,7,1,12.69344285,New,New,0
Truck,80927.437,Good,3,6,Electric,Automatic,800,144117.1486,11/4/2023,19/3/2025,First,29136.37759,5,1,14.07131684,New,Good,0
Truck,47122.07623,Good,3,9,Diesel,Automatic,2500,117049.3261,9/2/2024,20/5/2024,Second,16531.2089,2,3,16.12463338,New,Good,0
Truck,63397.95343,Poor,0,4,Diesel,Manual,1000,47946.9412,2/12/2023,10/3/2025,Second,10944.80899,2,0,18.8228013,New,New,0
Truck,79225.24156,Good,0,1,Petrol,Manual,1500,68109.48543,4/2/2024,20/3/2025,First,17702.72667,3,1,16.17508349,Good,New,0
Truck,73407.31905,Poor,1,4,Petrol,Automatic,800,97616.5999,30/9/2023,16/9/2024,First,6755.914921,6,0,11.97631873,Worn Out,Good,0
Truck,33041.07989,Good,3,5,Petrol,Manual,800,25201.8266,1/5/2023,8/8/2025,Second,6305.539522,7,1,18.99856001,Good,New,0
Truck,38070.57993,Poor,0,5,Diesel,Automatic,1000,68179.53089,22/4/2023,4/1/2025,Second,7766.650969,9,1,10.91433565,New,New,0
Truck,35467.83715,Good,2,1,Electric,Manual,2000,118426.3047,12/1/2024,4/10/2024,First,19886.98349,6,2,13.35280414,Good,New,0
Truck,31136.83017,Average,0,10,Electric,Automatic,2000,143665.74,15/2/2024,26/2/2026,First,13150.69013,6,2,17.09876258,Worn Out,Good,0
Truck,52923.2843,Average,1,4,Electric,Automatic,1500,147713.2532,1/7/2023,3/2/2025,Third,16742.34853,2,0,15.31095048,Good,Good,0
Truck,68100.95668,Good,0,3,Electric,Automatic,2000,111570.532,3/8/2023,2/6/2024,First,15153.28971,4,2,10.19690848,New,Good,0
Truck,43577.10422,Good,2,2,Petrol,Manual,2500,145077.6568,30/7/2023,7/10/2025,Second,22750.18164,1,1,16.23095042,Good,Good,0
Truck,45796.71276,Average,1,2,Diesel,Manual,2500,135618.3539,16/10/2023,22/11/2025,Third,24825.38409,6,0,19.11068394,New,New,0
Truck,76093.41378,Poor,1,5,Electric,Manual,2000,19502.32147,8/4/2023,1/3/2025,Third,7801.395471,4,3,17.80630915,Good,Good,0
Truck,50689.67102,Average,2,2,Electric,Automatic,2000,13643.69501,21/7/2023,17/4/2025,First,19274.22698,3,3,20.00817208,Worn Out,Good,0
Truck,42346.43331,Good,3,7,Diesel,Automatic,1000,26299.57237,11/6/2023,8/5/2024,Third,27336.35542,1,2,15.52255285,Good,Good,0
Truck,33059.5184,Good,3,2,Petrol,Automatic,2000,137390.3485,19/1/2024,21/9/2025,First,19821.84632,2,3,10.97419403,Good,New,0
Truck,35892.43429,Average,0,1,Diesel,Manual,2500,19437.55658,23/1/2024,6/3/2025,Third,22952.20204,7,3,10.7935488,New,Good,0
Truck,74632.33389,Average,1,9,Diesel,Automatic,1500,101535.7428,13/11/2023,6/9/2025,Third,17916.24195,5,0,17.97348074,Good,New,0
Truck,73739.56594,Average,2,3,Diesel,Manual,2000,21014.45608,5/1/2024,1/10/2024,Second,11098.70664,3,0,13.03245306,Good,Good,0
Truck,59098.53527,Good,3,3,Diesel,Manual,1500,35298.68487,6/10/2023,15/3/2026,Third,21257.82003,9,1,10.4554639,Good,Good,0
Truck,75423.43822,Good,0,9,Diesel,Manual,1000,136462.4022,1/9/2023,10/10/2025,Third,18424.18753,6,1,12.55673311,Worn Out,New,0
Truck,72228.49159,Good,3,3,Electric,Manual,2500,29397.67548,13/1/2024,23/12/2025,Third,14663.99274,2,1,18.81405056,Good,Good,0
Truck,54666.99339,Good,1,6,Diesel,Automatic,1500,64754.68753,22/4/2023,8/6/2025,Third,24606.3189,3,3,13.27576608,Good,New,0
Truck,31377.95108,Average,2,1,Petrol,Automatic,2000,24492.14517,18/11/2023,21/5/2025,Third,27590.47926,7,3,14.74919214,Good,New,0
Truck,42532.84775,Good,2,9,Diesel,Manual,1500,120858.3175,6/2/2024,27/2/2025,First,15392.27947,10,0,18.68115458,New,Good,0
Truck,51403.39122,Average,2,7,Electric,Manual,2500,133759.9855,16/11/2023,18/11/2024,First,30016.40438,6,0,18.83393459,Worn Out,New,0
Truck,58904.43577,Average,1,2,Electric,Manual,1500,25177.11188,31/3/2023,20/3/2026,Second,8698.028837,10,0,12.46587309,Good,Good,0
Truck,54781.0431,Average,1,5,Electric,Automatic,1000,23322.90555,26/5/2023,23/11/2024,First,17527.52256,8,1,16.76528365,Worn Out,Good,0
Truck,70238.61814,Poor,0,9,Diesel,Manual,1500,150452.4608,20/6/2023,23/6/2024,Second,28265.68183,1,2,12.22056864,Worn Out,Good,0
Truck,69327.03205,Average,0,6,Electric,Manual,800,142116.6858,9/9/2023,22/2/2026,Third,26502.45074,2,1,15.11594424,Worn Out,New,0
Truck,46619.42124,Good,0,8,Electric,Automatic,2000,12395.58465,25/12/2023,26/12/2024,Third,28397.69273,4,0,20.00626837,Worn Out,New,0
Truck,45683.649,Good,2,5,Petrol,Automatic,1000,21529.17339,12/2/2024,5/8/2025,First,7913.547516,6,0,16.36781376,Worn Out,Good,0
Truck,39192.30289,Average,1,3,Petrol,Manual,800,146052.197,20/4/2023,25/12/2024,Second,17348.87351,10,0,16.99147684,New,Good,0
Truck,61968.31114,Average,2,10,Diesel,Manual,1500,98690.49877,20/1/2024,26/11/2024,Second,18710.22609,4,0,15.49373219,Worn Out,New,0
Truck,30957.77698,Average,0,3,Electric,Manual,800,107942.806,24/1/2024,4/12/2024,Third,28621.94845,3,2,13.23258485,New,New,0
Truck,46883.73889,Good,1,9,Petrol,Manual,2000,114059.6385,30/12/2023,11/11/2024,Third,19729.48157,1,1,19.14548999,New,Good,0
Truck,42839.38102,Good,3,3,Electric,Automatic,1000,117140.8536,24/8/2023,31/5/2024,Third,29681.54613,2,3,17.9590767,New,Good,0
Truck,59661.17849,Average,2,3,Diesel,Automatic,2500,90965.29332,21/7/2023,27/7/2025,Third,26317.2319,7,2,12.97584027,Worn Out,Good,0
Truck,48832.64784,Poor,0,3,Diesel,Automatic,1000,98217.50528,2/1/2024,12/3/2026,First,25508.13459,1,1,19.03138429,Good,New,0
