Vehicle_Model,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Odometer_Reading,Last_Service_Date,Warranty_Expiry_Date,Owner_Type,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance
Truck,58765,Good,0,4,Electric,Automatic,2000,28524,23/11/2023,24/6/2025,Second,20782,6,3,13.6222038,New,New,Weak,1
Truck,31653,Average,2,1,Diesel,Automatic,800,70954,12/8/2023,5/9/2024,Third,16813,5,3,15.95442206,Worn Out,Good,New,0
Truck,37777,Poor,4,5,Electric,Automatic,800,127740,19/8/2023,22/5/2024,Second,8425,8,3,17.21332782,Worn Out,New,Good,1
Truck,55518,Poor,4,8,Diesel,Automatic,2000,19685,31/12/2023,19/11/2024,First,16488,2,3,16.3676973,New,Worn Out,Weak,1
Truck,48586,Average,2,10,Diesel,Manual,800,37758,31/8/2023,29/9/2025,Third,22244,10,2,16.36985783,Good,Good,New,1
Truck,43649,Poor,1,9,Petrol,Automatic,1000,17963,29/6/2023,4/10/2025,First,16252,4,3,17.98124935,New,New,Good,0
Truck,37573,Poor,1,9,Petrol,Manual,1500,134071,11/2/2024,9/2/2026,First,8033,3,3,13.50906245,Worn Out,New,Good,0
Truck,74757,Good,3,3,Diesel,Manual,2000,133394,16/2/2024,5/6/2024,Third,10850,9,2,13.3398306,New,Worn Out,New,1
Truck,48812,Good,3,1,Electric,Manual,1500,72926,20/8/2023,20/7/2024,Second,8804,8,2,17.31056142,Good,New,Weak,1
Truck,57809,Good,2,2,Diesel,Automatic,1500,138481,31/12/2023,15/9/2025,Second,22534,4,3,10.06108464,New,Worn Out,Good,1
Truck,58631,Poor,5,8,Diesel,Manual,2500,122883,23/8/2023,6/8/2024,Third,26161,8,0,11.89927125,Good,Good,Weak,1
Truck,78018,Poor,5,6,Diesel,Automatic,1000,30682,7/4/2023,1/4/2025,Third,27690,9,2,13.77292618,New,Worn Out,Weak,1
Truck,61408,Poor,4,5,Diesel,Manual,2500,127492,28/2/2024,6/2/2025,Second,24665,7,0,13.99514701,Worn Out,Good,New,1
Truck,70448,Average,5,4,Diesel,Manual,1000,80546,9/12/2023,7/11/2024,Third,29149,5,1,11.10999527,Worn Out,Good,Weak,1
Truck,30742,Poor,3,3,Electric,Automatic,2500,84805,9/10/2023,17/11/2025,Third,12670,1,2,14.4652195,Good,New,New,1
Truck,73343,Poor,5,2,Electric,Manual,2000,59857,26/7/2023,23/1/2026,Second,29036,6,2,15.75891889,New,New,New,1
Truck,36051,Good,2,9,Diesel,Automatic,800,29134,18/2/2024,21/1/2026,First,21598,7,0,14.75172259,Worn Out,Worn Out,Good,1
Truck,36248,Good,5,6,Diesel,Manual,1000,130093,12/12/2023,12/6/2025,First,8659,2,3,12.46221071,New,Worn Out,New,1
Truck,45708,Average,3,4,Electric,Manual,2500,34131,24/5/2023,1/10/2024,Second,5804,1,0,11.94027019,Good,New,New,1
Truck,77013,Poor,4,1,Petrol,Manual,1500,18438,22/2/2024,21/6/2024,Third,13677,6,0,18.22658984,Good,New,New,1
Truck,32437,Good,5,8,Petrol,Manual,800,149899,10/5/2023,25/6/2025,Third,22516,9,0,18.50856269,Worn Out,New,New,1
Truck,38974,Average,0,4,Diesel,Automatic,1500,30505,3/6/2023,1/12/2024,Third,23470,2,1,11.58273673,New,New,Weak,1
Truck,56494,Poor,4,2,Diesel,Automatic,1000,17969,7/11/2023,15/5/2024,Third,19186,10,3,11.79798789,New,New,Weak,1
Truck,30845,Poor,2,1,Petrol,Automatic,2500,58024,11/4/2023,4/9/2025,First,7713,7,3,15.99682466,New,Good,Weak,1
Truck,68744,Average,5,7,Petrol,Manual,2500,120218,15/10/2023,15/3/2026,First,11252,10,3,17.44544976,Worn Out,Good,New,1
Truck,49183,Poor,1,5,Electric,Manual,2500,35120,25/6/2023,26/2/2026,Second,18476,8,3,13.06811245,New,Good,Weak,1
