,55137.63365,2756.881682,,,,,,,,,,,,,,,,,,,,
Vehicle_Model,Mileage,,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Odometer_Reading,,Last_Service_Date,Warranty_Expiry_Date,Owner_Type,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance
Truck,58765,1.047047538,Good,0,4,Electric,Automatic,2000,28524,1.037266924,23/11/2023,24/6/2025,Second,20782,6,3,13.6222038,1.046049236,New,New,Weak,1
Truck,31653,1.030313208,Average,2,1,Diesel,Automatic,800,70954,1.019277143,12/8/2023,5/9/2024,Third,16813,5,3,15.95442206,1.019266604,Worn Out,Good,New,0
Truck,37777,1.013624873,Poor,4,5,Electric,Automatic,800,127740,1.046186174,19/8/2023,22/5/2024,Second,8425,8,3,17.21332782,0.968670399,Worn Out,New,Good,1
Truck,55518,1.022675257,Poor,4,8,Diesel,Automatic,2000,19685,1.01203479,31/12/2023,19/11/2024,First,16488,2,3,16.3676973,0.961327134,New,Worn Out,Weak,1
Truck,48586,1.035384463,Average,2,10,Diesel,Manual,800,37758,1.001419907,31/8/2023,29/9/2025,Third,22244,10,2,16.36985783,0.963967418,Good,Good,New,1
Truck,43649,1.041128351,Poor,1,9,Petrol,Automatic,1000,17963,1.047632092,29/6/2023,4/10/2025,First,16252,4,3,17.98124935,1.028324997,New,New,Good,0
Truck,37573,0.988851641,Poor,1,9,Petrol,Manual,1500,134071,0.958828202,11/2/2024,9/2/2026,First,8033,3,3,13.50906245,0.998305907,Worn Out,New,Good,0
Truck,74757,0.999499449,Good,3,3,Diesel,Manual,2000,133394,0.957304921,16/2/2024,5/6/2024,Third,10850,9,2,13.3398306,1.028470018,New,Worn Out,New,1
Truck,48812,1.03122312,Good,3,1,Electric,Manual,1500,72926,0.974678609,20/8/2023,20/7/2024,Second,8804,8,2,17.31056142,0.996935027,Good,New,Weak,1
Truck,57809,0.995153719,Good,2,2,Diesel,Automatic,1500,138481,0.961851332,31/12/2023,15/9/2025,Second,22534,4,3,10.06108464,1.016397118,New,Worn Out,Good,1
Truck,58631,0.962203883,Poor,5,8,Diesel,Manual,2500,122883,0.992275489,23/8/2023,6/8/2024,Third,26161,8,0,11.89927125,0.980010803,Good,Good,Weak,1
Truck,78018,0.982407291,Poor,5,6,Diesel,Automatic,1000,30682,0.984261404,7/4/2023,1/4/2025,Third,27690,9,2,13.77292618,0.968051445,New,Worn Out,Weak,1
Truck,61408,0.968723574,Poor,4,5,Diesel,Manual,2500,127492,1.031562912,28/2/2024,6/2/2025,Second,24665,7,0,13.99514701,1.009015537,Worn Out,Good,New,1
Truck,70448,0.960557168,Average,5,4,Diesel,Manual,1000,80546,1.004975978,9/12/2023,7/11/2024,Third,29149,5,1,11.10999527,1.031152639,Worn Out,Good,Weak,1
Truck,30742,0.957093867,Poor,3,3,Electric,Automatic,2500,84805,0.957361398,9/10/2023,17/11/2025,Third,12670,1,2,14.4652195,0.961462682,Good,New,New,1
Truck,73343,0.978471615,Poor,5,2,Electric,Manual,2000,59857,0.963003326,26/7/2023,23/1/2026,Second,29036,6,2,15.75891889,1.023754379,New,New,New,1
Truck,36051,0.994774702,Good,2,9,Diesel,Automatic,800,29134,1.005527638,18/2/2024,21/1/2026,First,21598,7,0,14.75172259,0.994547175,Worn Out,Worn Out,Good,1
Truck,36248,0.961208691,Good,5,6,Diesel,Manual,1000,130093,0.986583955,12/12/2023,12/6/2025,First,8659,2,3,12.46221071,1.042124438,New,Worn Out,New,1
Truck,45708,0.989501845,Average,3,4,Electric,Manual,2500,34131,1.045732246,24/5/2023,1/10/2024,Second,5804,1,0,11.94027019,1.012412055,Good,New,New,1
Truck,77013,0.961443653,Poor,4,1,Petrol,Manual,1500,18438,0.979335321,22/2/2024,21/6/2024,Third,13677,6,0,18.22658984,1.031413436,Good,New,New,1
Truck,32437,0.987404757,Good,5,8,Petrol,Manual,800,149899,0.964267618,10/5/2023,25/6/2025,Third,22516,9,0,18.50856269,1.005502852,Worn Out,New,New,1
Truck,38974,1.048417108,Average,0,4,Diesel,Automatic,1500,30505,1.012236665,3/6/2023,1/12/2024,Third,23470,2,1,11.58273673,1.017548085,New,New,Weak,1
Truck,56494,1.019917328,Poor,4,2,Diesel,Automatic,1000,17969,0.991321846,7/11/2023,15/5/2024,Third,19186,10,3,11.79798789,0.995896743,New,New,Weak,1
Truck,30845,0.966551612,Poor,2,1,Petrol,Automatic,2500,58024,1.036065492,11/4/2023,4/9/2025,First,7713,7,3,15.99682466,1.045784042,New,Good,Weak,1
Truck,68744,0.964403091,Average,5,7,Petrol,Manual,2500,120218,0.996097409,15/10/2023,15/3/2026,First,11252,10,3,17.44544976,0.990028974,Worn Out,Good,New,1
