Vehicle_Model,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Odometer_Reading,Last_Service_Date,Warranty_Expiry_Date,Owner_Type,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Need_Maintenance
Truck,59661.73018,Good,0,4,Electric,Automatic,2000,29077.511,23/11/2023,24/6/2025,Second,20915.31842,6,3,13.23551099,New,New,1
Truck,30922.52225,Average,2,1,Diesel,Automatic,800,70869.21775,12/8/2023,5/9/2024,Third,17091.78066,5,3,16.37890774,Worn Out,Good,0
Truck,39408.57802,Poor,4,5,Electric,Automatic,800,129654.9182,19/8/2023,22/5/2024,Second,8752.938286,8,3,16.35361852,Worn Out,New,1
Truck,53784.5717,Poor,4,8,Diesel,Automatic,2000,20288.47692,31/12/2023,19/11/2024,First,17228.64097,2,3,16.17541313,New,Worn Out,1
Truck,46812.25104,Average,2,10,Diesel,Manual,800,38772.40418,31/8/2023,29/9/2025,Third,22330.64789,10,2,16.8203571,Good,Good,1
Truck,42716.18023,Poor,1,9,Petrol,Automatic,1000,17381.64031,29/6/2023,4/10/2025,First,16442.83489,4,3,17.32255047,New,New,0
Truck,38780.50273,Poor,1,9,Petrol,Manual,1500,128037.0286,11/2/2024,9/2/2026,First,8291.491987,3,3,13.74422102,Worn Out,New,0
Truck,77547.1075,Good,3,3,Diesel,Manual,2000,134141.9766,16/2/2024,5/6/2024,Third,10369.13407,9,2,13.14516928,New,Worn Out,1
Truck,51227.3405,Good,3,1,Electric,Manual,1500,73736.48445,20/8/2023,20/7/2024,Second,9140.235087,8,2,17.1505485,Good,New,1
Truck,59301.37383,Good,2,2,Diesel,Automatic,1500,134934.1347,31/12/2023,15/9/2025,Second,22119.91986,4,3,9.815117021,New,Worn Out,1
Truck,59216.61282,Poor,5,8,Diesel,Manual,2500,117284.9382,23/8/2023,6/8/2024,Third,25838.88738,8,0,11.7395828,Good,Good,1
Truck,79763.87163,Poor,5,6,Diesel,Automatic,1000,29890.17237,7/4/2023,1/4/2025,Third,26874.97296,9,2,14.45775843,New,Worn Out,1
Truck,58985.31688,Poor,4,5,Diesel,Manual,2500,122500.9721,28/2/2024,6/2/2025,Second,25354.67924,7,0,14.30911167,Worn Out,Good,1
Truck,72288.63885,Average,5,4,Diesel,Manual,1000,81511.98679,9/12/2023,7/11/2024,Third,29360.06684,5,1,11.33145781,Worn Out,Good,1
Truck,30831.6985,Poor,3,3,Electric,Automatic,2500,84866.24521,9/10/2023,17/11/2025,Third,12839.52261,1,2,14.31380041,Good,New,1
Truck,69761.39709,Poor,5,2,Electric,Manual,2000,58517.31723,26/7/2023,23/1/2026,Second,27979.90654,6,2,15.06465812,New,New,1
Truck,37655.92169,Good,2,9,Diesel,Automatic,800,29760.21678,18/2/2024,21/1/2026,First,20736.88538,7,0,15.20582402,Worn Out,Worn Out,1
