,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Engine_Size,Odometer_Reading,Owner_Type,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Days_since_last_service,Warranty Days remaining,Transmission_Type_Manual,prob,prediction
299,70076.25553,0,1,1,2000,8078.784581,2,19472.6574,5,2,11.11208788,0,2,567,446,True,0.20155511828857425,0
2240,61579.38072,0,5,9,800,8068.465026,2,22071.42608,2,2,20.05505544,2,2,375,97,False,0.9587571566505392,1
2384,47999.96344,2,5,6,800,73809.43807,0,20788.76477,2,1,11.05016717,1,0,471,500,False,0.9971940559440559,1
3473,36553.98116,2,0,2,800,81022.26442,1,11723.3128,10,2,11.60222263,1,0,382,-64,True,0.9849258578431374,1
2614,32985.13565,0,3,8,1000,69011.29812,1,18047.10085,2,1,16.35268975,1,2,351,-165,True,0.8356098701135466,1
2583,51649.45465,1,5,6,1000,33829.02152,2,15787.21825,7,0,19.57877071,1,2,412,312,True,0.9674442536630038,1
2029,80442.88196,0,1,7,1000,150696.7692,2,25513.78495,1,0,19.3164974,0,1,474,104,False,0.341391235806677,0
1340,51281.66563,1,1,1,800,81681.23844,0,13937.66532,2,2,10.43974792,0,1,390,120,False,0.12761721913492424,0
1378,72630.9795,0,0,6,800,19647.19153,2,20775.55853,3,3,19.77569276,1,1,531,-160,False,0.2307949532440424,0
2202,67188.33403,1,3,5,800,2090.415191,0,15892.79269,3,3,20.16850737,0,2,523,112,False,0.8153657955606487,1
3145,64221.37366,0,0,9,2000,51009.97624,2,21173.74611,1,0,18.5472063,0,0,259,150,False,0.9604618010665804,1
847,36238.71769,2,2,8,800,2250.663053,2,5269.893694,3,1,12.77073402,0,2,540,352,True,0.25269108893557424,0
1744,44669.96724,0,5,1,800,56177.99841,2,24556.58248,5,0,18.73445044,2,0,308,-119,False,0.9953136140819965,1
1034,70044.69889,2,0,8,1500,139395.9376,1,16158.43193,4,3,16.62926076,2,2,383,-31,False,0.12193054693199817,0
1655,41786.05041,1,2,5,800,51235.91103,2,6124.851506,9,0,20.40656026,0,0,360,-138,False,0.9461047563547565,1
1018,69380.12767,2,0,5,1500,61464.0824,1,27260.85842,5,3,18.01160273,0,1,386,454,True,0.2874742271939447,0
2123,39749.61213,0,2,1,800,43554.1373,1,22905.22177,9,2,17.00086485,1,1,242,134,True,0.9040218949222429,1
1070,44059.11909,2,2,8,2000,147588.1552,1,25408.744,1,2,14.3735205,2,2,486,68,True,0.1965469297859004,0
1801,73751.81497,2,3,10,800,49736.64106,1,12867.56156,7,1,16.4485715,1,1,343,357,True,0.3303332119162226,0
1786,50041.68136,0,2,2,1000,96476.33875,1,14585.51295,9,2,10.02137802,2,0,302,-135,True,0.986389880952381,1
829,43119.89471,1,0,8,1500,24513.59623,1,8687.463824,6,0,16.10210132,0,2,440,377,True,0.09924150731019926,0
2087,71601.29385,0,1,2,2000,66569.00228,2,14912.45165,3,0,15.59194875,1,0,302,-163,True,0.9603574932012431,1
414,66768.82212,2,0,9,2500,126341.7834,0,25774.84824,1,3,10.51881043,1,2,283,-163,True,0.21898790777505958,0
457,81473.29685,1,0,5,2500,28326.39138,2,28280.64317,8,0,17.33873957,2,1,534,411,True,0.26030476861357116,0
781,77952.41669,0,0,4,1000,31225.49183,0,23065.96493,2,1,11.41984889,2,1,398,-23,True,0.18034881274770995,0
3443,52918.09744,2,2,7,1000,57114.01309,0,9267.696959,7,3,10.26258416,1,0,517,-78,True,0.9479822330447331,1
134,55771.94169,0,0,5,1000,102338.3316,1,14746.86402,9,1,10.52841764,1,2,504,218,False,0.21845932927366754,0
70,42267.59946,2,0,7,2500,53444.43757,0,12915.35213,5,3,20.32996269,2,2,336,480,True,0.24944606565735744,0
1078,37773.33697,1,0,3,2500,134059.9037,1,21137.44868,3,1,12.7257871,0,2,383,-79,True,0.09658789127539126,0
2420,41006.30054,1,0,3,2500,92545.45006,1,6006.509613,10,0,16.141729,1,0,504,101,False,0.969530617666647,1
1995,66734.84881,0,4,5,800,100713.3581,0,20474.08331,9,3,17.87077194,1,0,545,-115,True,1.0,1
211,37996.74622,2,0,2,1500,66199.99814,1,15916.47537,3,0,17.19920685,2,2,363,435,True,0.09339841446738818,0
3512,63672.14731,2,0,3,2500,17918.318,1,15346.66684,3,1,11.2966916,0,0,320,426,False,0.9660152417027418,1
1023,43755.85388,0,1,8,1500,100982.0963,1,13391.22156,9,1,15.81809361,1,2,520,494,False,0.32951280084939133,0
1718,49635.3426,2,5,2,1500,121725.6012,0,24915.93699,2,1,16.76263486,2,0,491,399,False,0.9957339362026861,1
2892,75549.53187,1,4,7,2000,108395.9299,1,24888.14429,9,1,15.50036179,2,0,500,172,False,0.9937638888888888,1
842,64622.1133,0,0,2,2000,45348.75229,2,18463.15959,7,3,15.24532057,2,1,377,-96,False,0.2166004544883222,0
270,69079.76553,2,1,8,2000,138989.7931,0,14029.00425,6,1,13.4199842,1,2,377,189,False,0.1331036400982128,0
393,41932.02294,2,0,5,1500,59920.53349,1,28415.33062,1,0,16.93061755,1,1,384,-39,False,0.16148883950586743,0
1322,70906.35217,2,1,10,1000,57808.37639,2,23141.00714,4,1,11.23956829,1,1,320,248,True,0.17580577491810803,0
1117,55807.53243,2,2,1,800,71396.68744,2,17646.69513,4,0,15.43718625,0,1,392,407,True,0.16007551110796,0
2986,64332.64933,0,2,5,2000,53668.3733,0,11224.4779,5,3,16.31351738,2,2,465,316,False,0.6439767123249129,1
893,79689.98467,2,2,4,2000,24777.66637,1,17185.14979,8,1,11.48875736,1,2,354,320,True,0.20580326120929665,0
93,31136.83017,1,0,10,2000,143665.74,0,13150.69013,6,2,17.09876258,0,1,252,489,False,0.2873273472850679,0
1957,66122.20811,1,5,1,1500,84181.16395,0,24492.67851,8,1,14.180075,1,1,280,448,True,0.9600017135642137,1
1992,37502.97118,2,1,8,1000,51985.0917,2,15487.6644,1,1,16.09215207,1,0,386,281,True,0.9758711843711845,1
3427,49637.80064,1,2,2,2500,44957.63387,2,27162.56766,8,2,19.49583467,1,2,262,456,False,0.7698934086746588,1
2636,72195.22457,2,5,8,1500,93500.10932,1,6979.093902,2,3,19.36969606,0,1,499,-16,True,0.907382783882784,1
